k,start,end
1,2020-02-29,2020-03-06
1,2020-03-28,2020-04-03
1,2020-12-19,2020-12-23
1,2021-07-10,2021-07-15
1,2021-07-27,2021-07-30
2,2020-03-14,2020-03-20
2,2020-04-04,2020-04-10
2,2020-05-23,2020-05-29
2,2020-12-19,2020-12-23
2,2021-01-16,2021-01-22
2,2021-01-23,2021-01-29
3,2020-02-22,2020-02-28
3,2020-11-07,2020-11-13
4,2020-02-22,2020-02-28
4,2020-03-07,2020-03-13
4,2020-03-14,2020-03-20
4,2020-11-28,2020-12-04
4,2021-01-09,2021-01-15
4,2021-01-16,2021-01-22
4,2021-01-30,2021-02-05
4,2021-07-27,2021-07-30
5,2020-02-22,2020-02-28
5,2020-03-21,2020-03-27
6,2020-02-22,2020-02-28
6,2020-02-29,2020-03-06
6,2020-03-07,2020-03-13
6,2020-03-21,2020-03-27
6,2020-04-04,2020-04-10
6,2020-06-13,2020-06-19
6,2020-12-12,2020-12-18
6,2021-01-23,2021-01-29
6,2021-05-01,2021-05-07
6,2021-08-02,2021-08-05
7,2020-02-22,2020-02-28
7,2020-03-07,2020-03-13
7,2020-03-28,2020-04-03
7,2021-03-29,2021-04-01
7,2021-04-10,2021-04-14
7,2021-05-01,2021-05-07
7,2021-07-27,2021-07-30
8,2020-02-22,2020-02-28
8,2020-03-21,2020-03-27
8,2020-04-04,2020-04-10
8,2020-11-07,2020-11-13
8,2021-07-10,2021-07-15
9,2020-02-22,2020-02-28
9,2020-03-21,2020-03-27
9,2020-06-13,2020-06-19
9,2020-12-12,2020-12-18
10,2020-02-22,2020-02-28
10,2021-03-23,2021-03-26
10,2021-07-27,2021-07-30
11,2020-03-07,2020-03-13
11,2021-04-18,2021-04-23
12,2020-02-15,2020-02-21
12,2020-02-29,2020-03-06
12,2020-03-07,2020-03-13
12,2020-03-14,2020-03-20
12,2020-06-27,2020-07-03
12,2020-12-19,2020-12-23
13,2020-02-15,2020-02-21
13,2020-02-29,2020-03-06
13,2020-03-14,2020-03-20
13,2020-03-21,2020-03-27
13,2020-09-26,2020-10-02
13,2020-10-10,2020-10-16
13,2021-01-23,2021-01-29
13,2021-07-27,2021-07-30
14,2020-02-08,2020-02-14
14,2020-02-29,2020-03-06
14,2020-03-14,2020-03-20
14,2021-07-27,2021-07-30
15,2020-02-01,2020-02-07
15,2020-03-07,2020-03-13
15,2021-03-13,2021-03-19
16,2020-02-22,2020-02-28
16,2020-03-07,2020-03-13
16,2020-03-14,2020-03-20
16,2021-07-10,2021-07-15
17,2020-02-01,2020-02-07
17,2020-06-13,2020-06-19
17,2020-06-20,2020-06-26
17,2021-07-10,2021-07-15
18,2020-02-08,2020-02-14
18,2020-02-22,2020-02-28
18,2020-03-14,2020-03-20
18,2021-01-23,2021-01-29
18,2021-07-10,2021-07-15
