k,start,end
6,2020-04-11,2020-04-17
6,2020-05-02,2020-05-08
6,2020-05-16,2020-05-22
6,2020-07-25,2020-07-31
6,2020-08-15,2020-08-21
6,2020-09-21,2020-09-25
6,2020-12-19,2020-12-23
6,2021-01-03,2021-01-08
6,2021-01-30,2021-02-05
6,2021-02-06,2021-02-12
6,2021-03-13,2021-03-19
6,2021-07-10,2021-07-15
7,2020-02-15,2020-02-21
7,2020-02-29,2020-03-06
7,2020-03-07,2020-03-13
7,2020-03-28,2020-04-03
7,2020-04-04,2020-04-10
7,2020-05-02,2020-05-08
7,2020-05-30,2020-06-05
7,2020-07-18,2020-07-24
7,2020-08-01,2020-08-07
7,2021-01-03,2021-01-08
7,2021-03-29,2021-04-01
7,2021-04-24,2021-04-30
8,2020-02-01,2020-02-07
8,2020-02-29,2020-03-06
8,2020-03-07,2020-03-13
8,2020-03-14,2020-03-20
8,2020-03-21,2020-03-27
8,2020-03-28,2020-04-03
8,2020-06-13,2020-06-19
8,2020-07-18,2020-07-24
8,2020-07-25,2020-07-31
8,2020-08-01,2020-08-07
8,2020-08-22,2020-08-28
8,2020-09-26,2020-10-02
8,2021-01-23,2021-01-29
9,2020-02-22,2020-02-28
9,2020-03-14,2020-03-20
9,2020-04-11,2020-04-17
9,2020-10-10,2020-10-16
9,2020-11-21,2020-11-27
9,2020-11-28,2020-12-04
9,2020-12-12,2020-12-18
9,2021-03-23,2021-03-26
9,2021-04-24,2021-04-30
10,2020-02-08,2020-02-14
10,2020-02-29,2020-03-06
10,2020-03-07,2020-03-13
10,2020-04-04,2020-04-10
10,2020-05-30,2020-06-05
10,2020-06-13,2020-06-19
10,2020-06-20,2020-06-26
10,2020-07-04,2020-07-10
10,2020-08-08,2020-08-14
10,2020-09-05,2020-09-11
10,2020-09-21,2020-09-25
10,2020-10-10,2020-10-16
10,2020-10-17,2020-10-23
10,2020-11-07,2020-11-13
10,2020-11-14,2020-11-20
10,2020-12-19,2020-12-23
10,2021-01-23,2021-01-29
10,2021-04-24,2021-04-30
11,2020-02-08,2020-02-14
11,2020-03-28,2020-04-03
11,2020-06-27,2020-07-03
11,2020-08-22,2020-08-28
11,2021-01-23,2021-01-29
11,2021-07-10,2021-07-15
11,2021-07-27,2021-07-30
12,2020-02-08,2020-02-14
12,2020-02-22,2020-02-28
12,2020-03-14,2020-03-20
12,2020-03-21,2020-03-27
12,2020-07-18,2020-07-24
12,2020-08-22,2020-08-28
12,2020-11-14,2020-11-20
12,2020-12-05,2020-12-11
12,2021-02-13,2021-02-19
13,2020-02-01,2020-02-07
13,2020-02-22,2020-02-28
13,2020-02-29,2020-03-06
13,2020-03-07,2020-03-13
13,2020-03-14,2020-03-20
13,2020-06-27,2020-07-03
13,2020-11-14,2020-11-20
13,2021-07-27,2021-07-30
14,2020-02-08,2020-02-14
14,2020-02-22,2020-02-28
14,2020-02-29,2020-03-06
14,2020-03-07,2020-03-13
14,2020-03-14,2020-03-20
14,2020-03-21,2020-03-27
14,2020-07-18,2020-07-24
14,2020-07-25,2020-07-31
14,2020-08-01,2020-08-07
14,2020-08-08,2020-08-14
14,2020-08-29,2020-09-04
14,2020-11-07,2020-11-13
14,2021-01-03,2021-01-08
14,2021-01-30,2021-02-05
14,2021-05-01,2021-05-07
14,2021-07-10,2021-07-15
15,2020-02-08,2020-02-14
15,2020-02-22,2020-02-28
15,2020-02-29,2020-03-06
15,2020-03-28,2020-04-03
15,2020-04-11,2020-04-17
15,2020-07-18,2020-07-24
15,2020-11-07,2020-11-13
15,2020-11-14,2020-11-20
15,2020-12-12,2020-12-18
15,2021-01-23,2021-01-29
15,2021-07-10,2021-07-15
15,2021-07-27,2021-07-30
16,2020-02-29,2020-03-06
16,2020-03-07,2020-03-13
16,2020-03-14,2020-03-20
16,2020-03-21,2020-03-27
16,2020-03-28,2020-04-03
16,2020-04-04,2020-04-10
16,2020-05-23,2020-05-29
16,2020-06-13,2020-06-19
16,2020-07-18,2020-07-24
16,2021-08-02,2021-08-05
17,2020-02-01,2020-02-07
17,2020-02-22,2020-02-28
17,2020-02-29,2020-03-06
17,2020-03-07,2020-03-13
17,2020-03-14,2020-03-20
17,2020-03-21,2020-03-27
17,2020-04-04,2020-04-10
17,2020-05-09,2020-05-15
17,2020-05-16,2020-05-22
17,2020-05-23,2020-05-29
17,2020-05-30,2020-06-05
17,2021-04-24,2021-04-30
17,2021-05-17,2021-05-21
17,2021-08-02,2021-08-05
18,2020-02-22,2020-02-28
18,2020-02-29,2020-03-06
18,2020-03-07,2020-03-13
18,2020-03-14,2020-03-20
18,2020-03-21,2020-03-27
18,2020-04-25,2020-05-01
18,2020-07-18,2020-07-24
18,2020-07-25,2020-07-31
18,2020-08-29,2020-09-04
18,2020-11-28,2020-12-04
18,2020-12-05,2020-12-11
18,2020-12-19,2020-12-23
18,2020-12-26,2020-12-31
18,2021-01-09,2021-01-15
18,2021-01-16,2021-01-22
18,2021-01-23,2021-01-29
18,2021-01-30,2021-02-05
18,2021-04-24,2021-04-30
18,2021-05-17,2021-05-21
18,2021-06-14,2021-06-18
18,2021-07-10,2021-07-15
19,2020-02-01,2020-02-07
19,2020-02-22,2020-02-28
19,2020-02-29,2020-03-06
19,2020-03-21,2020-03-27
19,2020-06-20,2020-06-26
19,2020-07-04,2020-07-10
19,2020-08-29,2020-09-04
19,2020-09-21,2020-09-25
19,2021-03-23,2021-03-26
19,2021-03-29,2021-04-01
19,2021-04-10,2021-04-14
19,2021-05-10,2021-05-14
19,2021-05-24,2021-05-28
19,2021-07-10,2021-07-15
19,2021-07-27,2021-07-30
19,2021-08-02,2021-08-05
20,2020-02-01,2020-02-07
20,2020-02-22,2020-02-28
20,2020-02-29,2020-03-06
20,2020-03-07,2020-03-13
20,2020-03-21,2020-03-27
20,2020-04-04,2020-04-10
20,2020-04-11,2020-04-17
20,2020-05-09,2020-05-15
20,2020-06-07,2020-06-12
20,2020-06-13,2020-06-19
20,2020-06-20,2020-06-26
20,2020-12-12,2020-12-18
20,2021-01-09,2021-01-15
20,2021-01-23,2021-01-29
20,2021-05-17,2021-05-21
20,2021-07-27,2021-07-30
