k,start,end
2,2020-02-22,2020-02-28
3,2020-02-01,2020-02-07
3,2020-03-07,2020-03-13
3,2020-03-14,2020-03-20
4,2020-03-14,2020-03-20
4,2020-08-15,2020-08-21
4,2021-03-29,2021-04-01
5,2020-03-28,2020-04-03
6,2021-01-09,2021-01-15
6,2021-04-24,2021-04-30
7,2020-02-01,2020-02-07
7,2021-07-10,2021-07-15
8,2020-02-29,2020-03-06
8,2020-03-21,2020-03-27
8,2020-07-18,2020-07-24
8,2021-07-27,2021-07-30
9,2020-03-07,2020-03-13
9,2020-03-21,2020-03-27
9,2020-04-04,2020-04-10
9,2021-01-30,2021-02-05
9,2021-07-10,2021-07-15
10,2020-02-15,2020-02-21
10,2020-03-07,2020-03-13
10,2020-12-19,2020-12-23
12,2020-02-29,2020-03-06
12,2020-03-21,2020-03-27
13,2020-02-08,2020-02-14
13,2020-02-22,2020-02-28
13,2020-03-14,2020-03-20
14,2020-02-22,2020-02-28
14,2020-03-14,2020-03-20
14,2020-12-12,2020-12-18
14,2021-07-27,2021-07-30
15,2020-07-18,2020-07-24
15,2021-04-10,2021-04-14
16,2020-03-14,2020-03-20
16,2020-05-23,2020-05-29
17,2020-02-22,2020-02-28
17,2020-03-21,2020-03-27
17,2021-03-29,2021-04-01
18,2020-02-15,2020-02-21
18,2020-03-21,2020-03-27
18,2020-07-04,2020-07-10
18,2020-11-07,2020-11-13
18,2020-12-19,2020-12-23
18,2021-07-27,2021-07-30
19,2020-02-29,2020-03-06
19,2020-03-07,2020-03-13
19,2020-03-14,2020-03-20
