k,start,end
1,2020-02-01,2020-02-07
1,2020-02-29,2020-03-06
1,2020-03-07,2020-03-13
1,2020-03-14,2020-03-20
1,2020-03-28,2020-04-03
1,2020-04-04,2020-04-10
1,2020-06-27,2020-07-03
1,2020-07-18,2020-07-24
1,2020-12-19,2020-12-23
1,2021-01-30,2021-02-05
2,2020-02-01,2020-02-07
2,2020-02-22,2020-02-28
2,2020-02-29,2020-03-06
2,2020-03-07,2020-03-13
2,2020-03-14,2020-03-20
2,2020-03-28,2020-04-03
2,2020-04-11,2020-04-17
2,2020-07-18,2020-07-24
2,2020-08-08,2020-08-14
2,2020-08-22,2020-08-28
2,2020-08-29,2020-09-04
2,2020-09-05,2020-09-11
2,2020-11-07,2020-11-13
2,2020-11-14,2020-11-20
2,2020-11-28,2020-12-04
2,2021-01-23,2021-01-29
2,2021-08-02,2021-08-05
3,2020-02-08,2020-02-14
3,2020-02-22,2020-02-28
3,2020-03-07,2020-03-13
3,2020-03-14,2020-03-20
3,2020-08-15,2020-08-21
3,2020-11-07,2020-11-13
3,2020-12-12,2020-12-18
3,2021-03-23,2021-03-26
3,2021-07-27,2021-07-30
4,2020-02-29,2020-03-06
4,2020-03-14,2020-03-20
4,2020-03-21,2020-03-27
4,2020-03-28,2020-04-03
4,2020-04-11,2020-04-17
4,2020-04-25,2020-05-01
4,2020-07-25,2020-07-31
4,2021-03-29,2021-04-01
4,2021-04-24,2021-04-30
4,2021-07-10,2021-07-15
4,2021-07-27,2021-07-30
5,2020-02-22,2020-02-28
5,2020-02-29,2020-03-06
5,2020-03-14,2020-03-20
5,2020-03-28,2020-04-03
5,2020-04-04,2020-04-10
5,2020-05-09,2020-05-15
5,2020-06-13,2020-06-19
5,2021-08-02,2021-08-05
6,2020-02-22,2020-02-28
6,2020-02-29,2020-03-06
6,2020-03-07,2020-03-13
6,2020-03-21,2020-03-27
6,2020-04-04,2020-04-10
6,2020-10-10,2020-10-16
6,2020-11-07,2020-11-13
6,2020-11-21,2020-11-27
6,2020-12-12,2020-12-18
6,2021-01-16,2021-01-22
6,2021-01-23,2021-01-29
6,2021-02-06,2021-02-12
6,2021-03-23,2021-03-26
6,2021-03-29,2021-04-01
6,2021-04-10,2021-04-14
6,2021-05-01,2021-05-07
7,2020-02-15,2020-02-21
7,2020-02-22,2020-02-28
7,2020-03-07,2020-03-13
7,2020-03-21,2020-03-27
7,2020-05-23,2020-05-29
7,2020-06-07,2020-06-12
7,2020-06-13,2020-06-19
7,2020-08-29,2020-09-04
7,2020-11-07,2020-11-13
7,2020-12-19,2020-12-23
7,2021-03-23,2021-03-26
8,2020-02-01,2020-02-07
8,2020-02-22,2020-02-28
8,2020-03-07,2020-03-13
8,2020-03-14,2020-03-20
8,2020-06-13,2020-06-19
8,2021-01-03,2021-01-08
8,2021-03-13,2021-03-19
8,2021-07-27,2021-07-30
9,2020-02-08,2020-02-14
9,2020-02-22,2020-02-28
9,2020-03-07,2020-03-13
9,2020-03-21,2020-03-27
9,2020-03-28,2020-04-03
9,2020-04-04,2020-04-10
9,2020-05-09,2020-05-15
9,2020-05-16,2020-05-22
9,2020-05-30,2020-06-05
9,2020-06-13,2020-06-19
9,2020-06-20,2020-06-26
9,2020-07-18,2020-07-24
9,2020-11-07,2020-11-13
9,2020-11-21,2020-11-27
9,2020-11-28,2020-12-04
9,2020-12-26,2020-12-31
9,2021-01-09,2021-01-15
9,2021-01-23,2021-01-29
9,2021-01-30,2021-02-05
9,2021-02-06,2021-02-12
10,2020-02-01,2020-02-07
10,2020-02-08,2020-02-14
10,2020-02-15,2020-02-21
10,2020-02-29,2020-03-06
10,2020-03-14,2020-03-20
10,2020-03-21,2020-03-27
10,2020-07-18,2020-07-24
10,2020-09-26,2020-10-02
10,2021-04-24,2021-04-30
11,2020-02-01,2020-02-07
11,2020-02-22,2020-02-28
11,2020-03-07,2020-03-13
11,2020-03-14,2020-03-20
11,2020-04-04,2020-04-10
11,2020-04-11,2020-04-17
11,2021-04-18,2021-04-23
11,2021-07-10,2021-07-15
11,2021-07-27,2021-07-30
