k,start,end
1,2020-02-01,2020-02-07
1,2020-02-08,2020-02-14
1,2020-02-29,2020-03-06
1,2021-07-27,2021-07-30
2,2020-02-22,2020-02-28
2,2020-03-07,2020-03-13
2,2020-03-14,2020-03-20
3,2020-11-07,2020-11-13
4,2020-03-07,2020-03-13
4,2020-07-18,2020-07-24
4,2020-09-26,2020-10-02
5,2020-02-22,2020-02-28
5,2020-05-23,2020-05-29
5,2020-07-18,2020-07-24
5,2021-04-10,2021-04-14
5,2021-07-27,2021-07-30
6,2020-02-22,2020-02-28
6,2020-03-07,2020-03-13
6,2020-03-21,2020-03-27
7,2021-07-27,2021-07-30
8,2020-02-01,2020-02-07
8,2020-03-14,2020-03-20
8,2020-03-21,2020-03-27
8,2020-12-19,2020-12-23
8,2021-04-18,2021-04-23
