k,start,end
1,2020-02-01,2020-02-07
1,2020-02-08,2020-02-14
1,2020-02-15,2020-02-21
1,2020-02-29,2020-03-06
1,2020-03-07,2020-03-13
1,2020-03-14,2020-03-20
1,2020-03-21,2020-03-27
1,2020-04-04,2020-04-10
1,2021-07-27,2021-07-30
2,2020-02-01,2020-02-07
2,2020-02-22,2020-02-28
2,2020-03-07,2020-03-13
2,2020-03-14,2020-03-20
2,2021-01-23,2021-01-29
3,2020-03-28,2020-04-03
3,2020-07-18,2020-07-24
3,2020-08-22,2020-08-28
3,2020-09-05,2020-09-11
3,2020-11-07,2020-11-13
3,2021-01-23,2021-01-29
3,2021-04-24,2021-04-30
4,2020-02-01,2020-02-07
4,2020-02-22,2020-02-28
4,2020-02-29,2020-03-06
4,2020-03-07,2020-03-13
4,2020-03-14,2020-03-20
4,2020-07-18,2020-07-24
4,2020-07-25,2020-07-31
4,2020-09-26,2020-10-02
4,2020-12-19,2020-12-23
4,2021-01-23,2021-01-29
5,2020-02-22,2020-02-28
5,2020-04-04,2020-04-10
5,2020-05-23,2020-05-29
5,2020-05-30,2020-06-05
5,2020-07-18,2020-07-24
5,2020-10-10,2020-10-16
5,2020-11-07,2020-11-13
5,2020-12-12,2020-12-18
5,2021-04-10,2021-04-14
5,2021-07-27,2021-07-30
6,2020-02-22,2020-02-28
6,2020-02-29,2020-03-06
6,2020-03-07,2020-03-13
6,2020-03-21,2020-03-27
6,2020-04-04,2020-04-10
6,2020-05-16,2020-05-22
6,2020-06-13,2020-06-19
6,2020-07-18,2020-07-24
6,2020-09-21,2020-09-25
6,2020-11-07,2020-11-13
6,2020-11-28,2020-12-04
6,2021-01-09,2021-01-15
6,2021-01-16,2021-01-22
6,2021-01-30,2021-02-05
6,2021-07-27,2021-07-30
7,2020-03-14,2020-03-20
7,2021-03-13,2021-03-19
7,2021-07-27,2021-07-30
8,2020-02-01,2020-02-07
8,2020-03-14,2020-03-20
8,2020-03-21,2020-03-27
8,2020-04-11,2020-04-17
8,2020-06-27,2020-07-03
8,2020-08-15,2020-08-21
8,2020-12-19,2020-12-23
8,2021-04-18,2021-04-23
