k,start,end
1,2020-02-01,2020-02-07
1,2020-02-22,2020-02-28
1,2020-02-29,2020-03-06
1,2020-03-07,2020-03-13
1,2020-03-14,2020-03-20
1,2020-04-11,2020-04-17
1,2020-08-15,2020-08-21
1,2020-12-19,2020-12-23
1,2021-07-10,2021-07-15
2,2020-02-01,2020-02-07
2,2020-02-22,2020-02-28
2,2020-03-07,2020-03-13
2,2020-03-14,2020-03-20
2,2020-06-13,2020-06-19
3,2020-02-22,2020-02-28
3,2020-02-29,2020-03-06
3,2020-03-14,2020-03-20
3,2020-03-28,2020-04-03
3,2020-04-11,2020-04-17
3,2020-07-18,2020-07-24
3,2020-08-22,2020-08-28
3,2020-09-05,2020-09-11
3,2020-11-07,2020-11-13
4,2020-02-08,2020-02-14
4,2020-02-22,2020-02-28
4,2020-02-29,2020-03-06
4,2020-03-21,2020-03-27
4,2020-04-04,2020-04-10
5,2020-02-01,2020-02-07
5,2020-02-08,2020-02-14
5,2020-02-29,2020-03-06
5,2020-03-21,2020-03-27
5,2020-04-04,2020-04-10
5,2020-07-18,2020-07-24
5,2021-04-24,2021-04-30
5,2021-07-27,2021-07-30
6,2020-02-08,2020-02-14
6,2020-02-22,2020-02-28
6,2020-03-07,2020-03-13
6,2020-03-21,2020-03-27
6,2020-04-04,2020-04-10
6,2020-04-11,2020-04-17
6,2021-04-18,2021-04-23
6,2021-07-27,2021-07-30
7,2020-02-01,2020-02-07
7,2020-02-22,2020-02-28
7,2020-03-14,2020-03-20
7,2020-12-12,2020-12-18
7,2021-01-23,2021-01-29
7,2021-07-27,2021-07-30
8,2020-02-15,2020-02-21
8,2020-02-29,2020-03-06
8,2020-03-07,2020-03-13
8,2020-03-14,2020-03-20
8,2020-03-21,2020-03-27
8,2020-06-27,2020-07-03
8,2021-03-23,2021-03-26
9,2020-02-01,2020-02-07
9,2020-02-22,2020-02-28
9,2020-02-29,2020-03-06
9,2020-03-07,2020-03-13
9,2020-03-21,2020-03-27
9,2020-04-04,2020-04-10
9,2020-05-09,2020-05-15
9,2020-05-16,2020-05-22
9,2020-05-30,2020-06-05
9,2020-06-13,2020-06-19
9,2020-12-26,2020-12-31
9,2021-01-09,2021-01-15
9,2021-01-16,2021-01-22
9,2021-01-23,2021-01-29
9,2021-01-30,2021-02-05
9,2021-03-29,2021-04-01
9,2021-04-10,2021-04-14
9,2021-05-01,2021-05-07
10,2020-02-22,2020-02-28
10,2020-03-07,2020-03-13
10,2020-03-14,2020-03-20
10,2020-04-04,2020-04-10
10,2020-05-23,2020-05-29
10,2020-05-30,2020-06-05
10,2020-06-27,2020-07-03
10,2020-07-25,2020-07-31
10,2021-03-13,2021-03-19
10,2021-07-27,2021-07-30
