k,start,end
1,2020-03-07,2020-03-13
2,2020-02-29,2020-03-06
2,2020-03-07,2020-03-13
2,2020-09-26,2020-10-02
2,2021-01-23,2021-01-29
2,2021-07-27,2021-07-30
3,2020-02-29,2020-03-06
3,2021-03-29,2021-04-01
3,2021-04-10,2021-04-14
3,2021-05-01,2021-05-07
4,2020-02-29,2020-03-06
4,2020-03-07,2020-03-13
4,2020-03-14,2020-03-20
4,2020-04-04,2020-04-10
4,2020-06-13,2020-06-19
4,2020-11-21,2020-11-27
4,2020-11-28,2020-12-04
4,2021-01-09,2021-01-15
4,2021-01-30,2021-02-05
5,2020-02-08,2020-02-14
5,2020-02-22,2020-02-28
5,2020-03-14,2020-03-20
5,2020-07-18,2020-07-24
5,2020-10-10,2020-10-16
5,2020-12-19,2020-12-23
6,2020-02-15,2020-02-21
6,2020-02-22,2020-02-28
6,2020-03-14,2020-03-20
6,2020-05-23,2020-05-29
6,2021-07-27,2021-07-30
7,2020-02-01,2020-02-07
7,2020-03-07,2020-03-13
7,2020-03-21,2020-03-27
7,2021-04-24,2021-04-30
8,2020-03-14,2020-03-20
8,2021-07-10,2021-07-15
9,2020-02-22,2020-02-28
9,2020-03-14,2020-03-20
9,2021-07-10,2021-07-15
9,2021-07-27,2021-07-30
10,2020-02-01,2020-02-07
10,2020-02-08,2020-02-14
10,2020-11-07,2020-11-13
10,2020-12-12,2020-12-18
11,2020-02-29,2020-03-06
11,2020-03-21,2020-03-27
12,2020-02-22,2020-02-28
12,2020-03-07,2020-03-13
12,2020-03-21,2020-03-27
12,2020-04-11,2020-04-17
13,2020-02-29,2020-03-06
13,2021-03-02,2021-03-04
13,2021-03-23,2021-03-26
14,2020-02-15,2020-02-21
14,2020-02-22,2020-02-28
14,2020-03-14,2020-03-20
15,2020-03-28,2020-04-03
16,2020-03-14,2020-03-20
16,2021-04-24,2021-04-30
16,2021-05-17,2021-05-21
