k,start,end
1,2020-02-29,2020-03-06
1,2020-03-07,2020-03-13
1,2020-03-14,2020-03-20
1,2020-12-19,2020-12-23
2,2020-02-22,2020-02-28
2,2020-02-29,2020-03-06
2,2020-03-28,2020-04-03
3,2020-02-08,2020-02-14
3,2020-02-22,2020-02-28
3,2020-03-07,2020-03-13
3,2020-03-14,2020-03-20
3,2020-12-12,2020-12-18
4,2020-02-29,2020-03-06
4,2020-03-14,2020-03-20
4,2020-03-28,2020-04-03
4,2021-04-24,2021-04-30
4,2021-07-10,2021-07-15
4,2021-07-27,2021-07-30
5,2020-02-29,2020-03-06
5,2020-03-21,2020-03-27
6,2020-02-22,2020-02-28
6,2020-03-07,2020-03-13
6,2020-03-21,2020-03-27
6,2021-01-16,2021-01-22
6,2021-03-29,2021-04-01
6,2021-04-10,2021-04-14
6,2021-05-01,2021-05-07
7,2020-02-15,2020-02-21
7,2020-02-22,2020-02-28
7,2020-03-21,2020-03-27
7,2020-05-23,2020-05-29
7,2020-06-13,2020-06-19
8,2020-02-22,2020-02-28
8,2020-03-14,2020-03-20
8,2021-03-13,2021-03-19
9,2020-02-08,2020-02-14
9,2020-02-22,2020-02-28
9,2020-03-07,2020-03-13
9,2020-03-21,2020-03-27
9,2020-04-04,2020-04-10
9,2020-06-13,2020-06-19
9,2020-07-18,2020-07-24
9,2020-11-07,2020-11-13
9,2020-11-28,2020-12-04
9,2021-01-23,2021-01-29
9,2021-01-30,2021-02-05
10,2020-02-01,2020-02-07
10,2020-03-14,2020-03-20
11,2020-02-01,2020-02-07
11,2020-02-22,2020-02-28
11,2020-03-07,2020-03-13
11,2020-03-14,2020-03-20
11,2020-04-04,2020-04-10
11,2021-04-18,2021-04-23
