k,start,end
2,2020-02-29,2020-03-06
2,2020-03-14,2020-03-20
2,2021-07-27,2021-07-30
3,2020-02-22,2020-02-28
3,2021-04-24,2021-04-30
4,2020-02-22,2020-02-28
4,2020-03-07,2020-03-13
4,2020-03-21,2020-03-27
5,2020-02-29,2020-03-06
6,2020-02-15,2020-02-21
6,2020-07-18,2020-07-24
6,2020-09-26,2020-10-02
6,2021-01-30,2021-02-05
8,2020-03-07,2020-03-13
8,2020-12-19,2020-12-23
9,2020-03-14,2020-03-20
9,2021-07-27,2021-07-30
10,2020-03-07,2020-03-13
11,2021-04-18,2021-04-23
12,2020-03-28,2020-04-03
12,2020-10-10,2020-10-16
13,2020-02-01,2020-02-07
13,2020-02-08,2020-02-14
13,2021-01-09,2021-01-15
14,2020-02-22,2020-02-28
14,2020-12-19,2020-12-23
14,2021-03-23,2021-03-26
15,2020-11-07,2020-11-13
15,2021-04-10,2021-04-14
17,2020-02-22,2020-02-28
17,2020-03-14,2020-03-20
17,2020-05-23,2020-05-29
17,2021-07-27,2021-07-30
