k,start,end
1,2020-02-01,2020-02-07
1,2020-02-22,2020-02-28
1,2020-02-29,2020-03-06
1,2020-03-07,2020-03-13
1,2020-03-14,2020-03-20
1,2020-03-21,2020-03-27
1,2020-04-11,2020-04-17
1,2020-05-30,2020-06-05
1,2020-07-18,2020-07-24
1,2020-08-15,2020-08-21
1,2020-12-19,2020-12-23
1,2021-01-23,2021-01-29
1,2021-02-06,2021-02-12
1,2021-07-10,2021-07-15
2,2020-02-01,2020-02-07
2,2020-02-22,2020-02-28
2,2020-03-07,2020-03-13
2,2020-03-14,2020-03-20
2,2020-03-21,2020-03-27
2,2020-05-09,2020-05-15
2,2020-06-13,2020-06-19
2,2020-06-20,2020-06-26
2,2020-06-27,2020-07-03
2,2020-09-13,2020-09-18
2,2020-11-07,2020-11-13
2,2020-11-21,2020-11-27
2,2021-01-03,2021-01-08
3,2020-02-01,2020-02-07
3,2020-02-15,2020-02-21
3,2020-02-22,2020-02-28
3,2020-02-29,2020-03-06
3,2020-03-07,2020-03-13
3,2020-03-14,2020-03-20
3,2020-03-28,2020-04-03
3,2020-04-04,2020-04-10
3,2020-04-11,2020-04-17
3,2020-05-09,2020-05-15
3,2020-06-07,2020-06-12
3,2020-06-13,2020-06-19
3,2020-07-18,2020-07-24
3,2020-08-08,2020-08-14
3,2020-08-22,2020-08-28
3,2020-08-29,2020-09-04
3,2020-09-05,2020-09-11
3,2020-11-07,2020-11-13
3,2020-11-14,2020-11-20
3,2020-11-28,2020-12-04
3,2020-12-12,2020-12-18
3,2021-01-23,2021-01-29
3,2021-07-27,2021-07-30
4,2020-02-08,2020-02-14
4,2020-02-22,2020-02-28
4,2020-02-29,2020-03-06
4,2020-03-07,2020-03-13
4,2020-03-14,2020-03-20
4,2020-03-21,2020-03-27
4,2020-03-28,2020-04-03
4,2020-04-04,2020-04-10
4,2020-07-18,2020-07-24
4,2020-11-07,2020-11-13
4,2021-08-02,2021-08-05
5,2020-02-01,2020-02-07
5,2020-02-08,2020-02-14
5,2020-02-29,2020-03-06
5,2020-03-14,2020-03-20
5,2020-03-21,2020-03-27
5,2020-04-04,2020-04-10
5,2020-05-09,2020-05-15
5,2020-06-13,2020-06-19
5,2020-07-04,2020-07-10
5,2020-07-18,2020-07-24
5,2020-08-01,2020-08-07
5,2020-08-08,2020-08-14
5,2020-09-26,2020-10-02
5,2020-10-17,2020-10-23
5,2020-11-14,2020-11-20
5,2020-12-12,2020-12-18
5,2021-01-23,2021-01-29
5,2021-02-06,2021-02-12
5,2021-03-29,2021-04-01
5,2021-04-24,2021-04-30
5,2021-07-27,2021-07-30
6,2020-02-22,2020-02-28
6,2020-03-07,2020-03-13
6,2020-03-21,2020-03-27
6,2020-04-11,2020-04-17
6,2020-06-13,2020-06-19
6,2020-07-18,2020-07-24
6,2020-08-15,2020-08-21
6,2020-09-26,2020-10-02
6,2020-12-12,2020-12-18
6,2021-01-23,2021-01-29
6,2021-01-30,2021-02-05
6,2021-04-18,2021-04-23
6,2021-04-24,2021-04-30
6,2021-07-27,2021-07-30
7,2020-02-01,2020-02-07
7,2020-02-08,2020-02-14
7,2020-02-22,2020-02-28
7,2020-03-14,2020-03-20
7,2020-03-21,2020-03-27
7,2020-05-30,2020-06-05
7,2020-07-18,2020-07-24
7,2020-08-29,2020-09-04
7,2020-10-17,2020-10-23
7,2020-11-07,2020-11-13
7,2020-12-12,2020-12-18
7,2020-12-19,2020-12-23
7,2021-01-16,2021-01-22
7,2021-01-23,2021-01-29
7,2021-02-06,2021-02-12
7,2021-07-27,2021-07-30
8,2020-02-01,2020-02-07
8,2020-02-15,2020-02-21
8,2020-02-29,2020-03-06
